Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,>20 years,5+,,8,16,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Not at all,96,Neither stressful or not stressful,Not stressful at all,Somewhat stressful,Somewhat stressful,parenting teenagers,,90,85,75,92,90,91,<20 minutes,21-45 minutes,A few times a year or less,Once a month or less,A few times a month,Rarely,Never,Frequently,Sometimes,Always,Always,0-19 minutes,,,mental and emotional needs,,,screen time,,,,,,,,,,extra-curricular activities,,,Rarely,Rarely,Sometimes,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,fair,somewhat,a little bit,a little bit,<30 minutes per week,<30 minutes per week,none,2-3 times per month,Daily,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,Psychiatric care,Support group,Stress management,,,,,$200K-$299K,$1-$99K,$0 ,6-10 years,No,,Neither satisfied nor dissatisfied,Sometimes,Usually,,,50-59 hrs,1,Hospital/Multi-physician group,1,internal medicine or related specialty,,,,3 weeks,Never,Never,Agree,Colleagues trade time off or call when needed,Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,2,,6,9,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,Yes,,,,,,,,Negatively,64,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,Somewhat not stressful,balancing my career with a physician partner,,75,65,50,53,52,67,46-60 minutes,46-60 minutes,Once a month or less,A few times a year or less,A few times a week,Sometimes,Rarely,Rarely,Always,Frequently,Sometimes,60-89 minutes,,,mental and emotional needs,,effective communication,,,,,,,,nutrition/diet,,,,,,Never,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,fair,a little bit,quite a bit,a little bit,61-120 minutes per week,<30 minutes per week,twice per week,Weekly,Weekly,Weekly,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$800K+,$0 ,$0 ,21-25 years,Yes,,Satisfied,Rarely,Usually,,,50-59 hrs,0,Private practice,1,surgical specialty,,Orthopaedic,,5 weeks,Sometimes,Yearly,Strongly agree,The practice is always looking out for its members ,Neither agree nor disagree,,,,,,,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,11-20 years,3,,8,13,"Doctorate degree (e.g. PhD, EdD)",Negatively,,Yes,,,,,,,,,Negatively,75,Somewhat stressful,Somewhat stressful,Neither stressful or not stressful,Very stressful,parenting young children,,85,85,85,80,75,80,21-45 minutes,<20 minutes,Once a week,A few times a week,A few times a week,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,45-59 minutes,,,,,,screen time,,,,,,,nutrition/diet,,,extra-curricular activities,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,good,quite a bit,a little bit,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),three times per week,3-5 times per week,Seldom,Seldom,Never,"Yes, several times a year.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$800K+,$100K-$199K,$1-$99K,6-10 years,No,,Satisfied,Sometimes,Rarely,My spouse/partner does.,My spouse/partner does.,50-59 hrs,6,Hospital/Multi-physician group,2,radiology,,,,> 7 weeks,Usually,Every few years,Agree,"Many in the practice also have kids. In a true emergency, my spouse would be able to leave work to help out our family. ",Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,11,15,"Associate degree (e.g. AA, AS)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,81,Somewhat stressful,Neither stressful or not stressful,Very stressful,Neither stressful or not stressful,lack of time,,80,81,70,71,90,85,21-45 minutes,46-60 minutes,A few times a week,Once a month or less,A few times a year or less,Frequently,Rarely,Frequently,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,,,screen time,,,,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,fair,a little bit,quite a bit,quite a bit,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),twice per week,Weekly,3-5 times per week,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$300K-$399K,$500K+,$500K+,1-5 years,No,,Neither satisfied nor dissatisfied,Rarely,Always,,,50-59 hrs,0,Hospital/Multi-physician group,1,emergency medicine,,,,2 weeks,Sometimes,Every other year,Neither agree nor disagree,,Agree,"We had 3 family funerals within 3 years, my husbandâ€™s mother, father and sister. He had to find someone to cover his shifts and we payed for the whole family to fly home. His bosses never said anything to him, like â€œIâ€™m sorry for your lossâ€ or anything like that. He was only told about bereavement pay on the 3rd time AFTER the funeral by another coworker. It would be nice to have administration more concerned about the well being of their staff than the well being of the hospitals finances. They need to invest more time into the people that make their hospitals run well.",7,No,Yes,No,,,,,,,
Yes,,,,,,,,Married,,6-10 years,3,,3,7,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,Yes,,,,,,Positively,72,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,parenting young children,,78,72,52,63,71,78,61-90 minutes,21-45 minutes,A few times a month,Never,Once a month or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,2,,3,7,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,80,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,75,70,48,60,82,75,61-90 minutes,21-45 minutes,A few times a week,Once a week,A few times a week,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,45-59 minutes,,,mental and emotional needs,,,screen time,,,,,,self-esteem/confidence,,,,,,,Usually,Usually,Usually,Usually,Neither unfulfilled or fulfilled,Somewhat fulfilled,Somewhat fulfilled,poor,a little bit,quite a bit,somewhat,61-120 minutes per week,30-60 minutes per week,once per week,Weekly,Weekly,Daily,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$50K-$99K,$500K+,$500K+,0,No,Intern (PGY1),Dissatisfied,Rarely,Usually,,,60-69 hrs,4,"Not in practice, resident",0,family medicine,,,,1 week,Never,Every few years,Disagree,,Strongly agree,"My Partner's school tried multiple times to get rid of spouses' group. I'd like them to keep it as it's a huge support. Just starting residency and unsure how much support there is yet. It can't be much worse than what we dealt with before, though. ",20,Maybe,Yes,Maybe,,,,,,,
Yes,,,,,,,,Married,,11-20 years,5+,,3 months,13,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Negatively,84,Very stressful,Not stressful at all,Somewhat stressful,Neither stressful or not stressful,parenting young children,,76,63,68,64,72,76,21-45 minutes,21-45 minutes,A few times a week,Once a week,Once a month or less,Frequently,Always,Frequently,Rarely,Frequently,Frequently,20-44 minutes,,,,discipline/behavior,,screen time,,,,,,,,,,extra-curricular activities,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat unfulfilled,Somewhat fulfilled,Somewhat fulfilled,very poor,not at all,quite a bit,somewhat,30-60 minutes per week,<30 minutes per week,none,Seldom,Seldom,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$100K-$199K,$0 ,$0 ,1-5 years,No,,Very satisfied,Never,Sometimes,I do.,I do.,40-49 hrs,6,Active Military,3,radiology,,,,5 weeks,Never,Every few years,Disagree,,Strongly agree,Support paternity leave and no shaming for taking time for family events,3,Maybe,Yes,Maybe,38,Female,Woman,Male,Man,Alaska/Islands,
Yes,,,,,,,,Married,,11-20 years,3,,20 months,6,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Negatively,80,Very stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,household management,,75,75,80,75,60,75,46-60 minutes,<20 minutes,Every day,A few times a month,Every day,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Always,20-44 minutes,,,,discipline/behavior,,,,,friends,,,self-esteem/confidence,,,,,,,Sometimes,Never,Sometimes,Never,Very fulfilled,Somewhat fulfilled,Somewhat fulfilled,very good,somewhat,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,3-5 times per week,3-5 times per week,Seldom,Never,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$400K-$499K,$400K-$499K,0,Yes,4th year residency (PGY4),Very satisfied,Never,Always,,,50-59 hrs,3,"Not in practice, resident",0,anesthesiology,,,,3 weeks,Usually,Several times a year,Agree,Offered a few days of paternity leave and leave for sick kids ,Strongly agree,"Longer paternity leave, more sick days, flexible call schedule ",5,Maybe,Yes,No,31,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,3,,4,9,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,Yes,,,,,,Negatively,40,Very stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,finances,,40,60,40,50,50,45,61-90 minutes,46-60 minutes,A few times a week,A few times a week,A few times a month,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,20-44 minutes,,,mental and emotional needs,,,,,,,,,self-esteem/confidence,,,physical activity,,,,Sometimes,Usually,Usually,Usually,Somewhat unfulfilled,Neither unfulfilled or fulfilled,Neither unfulfilled or fulfilled,good,a little bit,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,Monthly,Seldom,Seldom,Weekly,"Yes, I did in the past.",Would probably go,,,,,Support group,,,,,,$50K-$99K,$100K-$199K,$100K-$199K,0,No,3rd year residency (PGY3),Very dissatisfied,Rarely,Sometimes,I do.,I do.,50-59 hrs,4,"Not in practice, resident",0,Other (please specify),Interventional radiology,,,3 weeks,Never,Never,Disagree,,Agree,"More family events, better pay, ",0,No,Yes,No,36,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,2,,1,3.5,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Not at all,100,Somewhat not stressful,Not stressful at all,Somewhat not stressful,Not stressful at all,parenting young children,,100,82,85,100,87,100,61-90 minutes,61-90 minutes,Once a month or less,A few times a month,Once a month or less,Rarely,Never,Always,Sometimes,Frequently,Always,90+ minutes,,,,discipline/behavior,,,,,,,,,nutrition/diet,sleep habits,,,,,Sometimes,Sometimes,Sometimes,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,very good,very much,not at all,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,none,2-3 times per month,Never,Daily,Weekly,I never have.,Would definitely go,,,,,,,,,,,$400K-$499K,$300K-$399K,$300K-$399K,1-5 years,No,,Satisfied,Rarely,Always,,,50-59 hrs,3,Hospital/Multi-physician group,1,internal medicine or related specialty,,,,2 weeks,Never,Never,Agree,He has flexibility and was able to be home after our sonâ€™s birth. They are not actively anti family.,Disagree,,,,,,36,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,3,,29,33,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,80,Somewhat stressful,Very stressful,Very stressful,Somewhat stressful,isolation from friends and family,,81,80,80,75,75,78,>120 minutes,>120 minutes,Once a week,A few times a month,Once a month or less,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,60-89 minutes,,,,discipline/behavior,,,academic performance,,,,,self-esteem/confidence,,,,,,,Sometimes,Usually,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,somewhat,somewhat,a little bit,61-120 minutes per week,<30 minutes per week,twice per week,Monthly,Monthly,Weekly,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$300K-$399K,$100K-$199K,$0 ,31+ years,Yes,,Satisfied,Sometimes,Rarely,My spouse/partner does.,My spouse/partner does.,40-49 hrs,5,Hospital/Multi-physician group,2,internal medicine or related specialty,,,,> 7 weeks,Usually,Several times a year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,63,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,2,,39,41,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,,,,,Retired,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,13,18,"Bachelor's degree (e.g. BA, BS)",Not at all,,,Yes,,,,,,,,Negatively,35,Somewhat stressful,Neither stressful or not stressful,Very stressful,Very stressful,parenting teenagers,,63,37,78,49,4,41,<20 minutes,21-45 minutes,A few times a week,A few times a month,A few times a month,Frequently,Rarely,Frequently,Sometimes,Rarely,Rarely,45-59 minutes,,,mental and emotional needs,,,,academic performance,,friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,3,,6,11,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,,Very stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,lack of time,,63,55,70,44,30,54,46-60 minutes,21-45 minutes,A few times a month,Once a week,Once a month or less,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Sometimes,20-44 minutes,,,mental and emotional needs,,,,,,friends,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Rarely,Somewhat unfulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,poor,somewhat,a little bit,a little bit,30-60 minutes per week,61-120 minutes per week,three times per week,2-3 times per month,Seldom,Monthly,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$600K-$699K,$200K-$299K,$100K-$199K,6-10 years,No,,Dissatisfied,Sometimes,Usually,,,70-79 hrs,6,Hospital/Multi-physician group,2,cardiology,,,,4 weeks,Never,Every few years,Neither agree nor disagree,,Neither agree nor disagree,,,,,,,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,4,,6,16,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,Yes,,Volunteer,,,,Negatively,69,Very stressful,Very stressful,Somewhat stressful,Very stressful,household management,,69,70,85,75,64,76,46-60 minutes,<20 minutes,A few times a week,Once a week,Every day,Frequently,Sometimes,Sometimes,Rarely,Frequently,Sometimes,60-89 minutes,,,mental and emotional needs,,effective communication,,,entitlement,,,,,,,,,,,Rarely,Rarely,Rarely,Rarely,Very fulfilled,Somewhat fulfilled,Very fulfilled,good,quite a bit,not at all,not at all,>150 minutes per week (e.g. 2 1/2 hrs),30-60 minutes per week,once per week,2-3 times per month,Never,Weekly,Weekly,"Yes, several times a year.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$700K-$799K,$500K+,$400K-$499K,1-5 years,No,,Satisfied,Rarely,Usually,,,>90 hours,4,Hospital/Multi-physician group,1,cardiology,,,,6 weeks,Rarely,Few times a year,Strongly disagree,,Strongly agree,"Hire more physicians, so that call can be spread more evenly. ",2,No,Yes,No,39,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,3,,6,11,"Master's degree (e.g. MA, MS, Med)",Negatively,,Yes,,,,,,,,,Negatively,5,Very stressful,Very stressful,Very stressful,Very stressful,isolation from friends and family,,19,19,23,14,6,32,<20 minutes,<20 minutes,Every day,Every day,Every day,Always,Sometimes,Never,Never,Never,Never,0-19 minutes,,,mental and emotional needs,discipline/behavior,,,academic performance,,,,,,,,,,,,Always,Always,Always,Always,Somewhat unfulfilled,Not fulfilled at all,Not fulfilled at all,poor,not at all,a little bit,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),twice per week,3-5 times per week,3-5 times per week,Daily,Weekly,"Yes, I did in the past.",Would probably not go,Individual counseling or therapy,Marriage or family counseling,,,,,,,Pastoral,,$800K+,$500K+,$500K+,6-10 years,No,,Neither satisfied nor dissatisfied,Sometimes,Sometimes,I do.,I do.,70-79 hrs,4,Hospital/Multi-physician group,1,radiology,,,,4 weeks,Sometimes,Every few years,Neither agree nor disagree,,Agree,Off at a specific time,100,No,No,No,,,,,,,
Yes,,,,,,,,Married,,6-10 years,1,1,,,"Master's degree (e.g. MA, MS, Med)",Positively,,Yes,,Yes,Yes,,,,,,Positively,85,Somewhat stressful,Somewhat stressful,Very stressful,Somewhat stressful,household management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,3,,3 months,4,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,Yes,,,,,,Not at all,95,Somewhat not stressful,Not stressful at all,Not stressful at all,Somewhat not stressful,parenting young children,,98,85,79,81,88,93,61-90 minutes,21-45 minutes,Never,A few times a year or less,A few times a year or less,Sometimes,Rarely,Always,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,discipline/behavior,,screen time,,,,,,,,,,,,,Rarely,Rarely,Never,Never,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,quite a bit,a little bit,a little bit,61-120 minutes per week,<30 minutes per week,once per week,Weekly,Weekly,2-3 times per month,2-3 times per month,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$400K-$499K,$300K-$399K,1-5 years,No,,Neither satisfied nor dissatisfied,Rarely,Usually,,,40-49 hrs,6,Veteran's hospital,1,internal medicine or related specialty,,,,2 weeks,Rarely,Few times a year,Agree,,Agree,,,Yes,Yes,Maybe,34,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,3,,27,32,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Not at all,100,Somewhat stressful,Very stressful,Very stressful,Somewhat stressful,balancing my career with a physician partner,,82,100,55,80,0,82,46-60 minutes,46-60 minutes,Every day,Every day,Every day,Frequently,Rarely,Rarely,Frequently,Rarely,Always,Not applicable,,,mental and emotional needs,,,,,,,,,,nutrition/diet,,physical activity,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat unfulfilled,Somewhat fulfilled,good,quite a bit,a little bit,not at all,61-120 minutes per week,30-60 minutes per week,three times per week,3-5 times per week,Daily,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$300K-$399K,$0 ,$0 ,26-30 years,Yes,,Satisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,60-69 hrs,7+,Private practice,1,urology,,,,2 weeks,Sometimes,Few times a year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,60,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,3,,3,9,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Not at all,54,Very stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,finances,,70,45,50,45,100,70,21-45 minutes,21-45 minutes,Every day,A few times a week,A few times a week,Sometimes,Rarely,Rarely,Frequently,Rarely,Sometimes,20-44 minutes,,,,,,,academic performance,entitlement,friends,,,,,,,,,,Sometimes,Always,Usually,Sometimes,Neither unfulfilled or fulfilled,Very fulfilled,Somewhat fulfilled,poor,somewhat,somewhat,a little bit,<30 minutes per week,<30 minutes per week,none,3-5 times per week,Never,3-5 times per week,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$50K-$99K,$200K-$299K,$200K-$299K,0,No,2nd year residency (PGY2),Very dissatisfied,Usually,Sometimes,I do.,My spouse/partner does.,50-59 hrs,1,Hospital/Multi-physician group,0,radiology,,,,3 weeks,Never,Never,Neither agree nor disagree,,Agree,Higher resident salaries. Active spouse/family groups with meetups every once in a while. ,0,Yes,Yes,Maybe,,,,,,,
Yes,,,,,,,,Married,,11-20 years,4,,4,11,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,40,Very stressful,Somewhat stressful,Very stressful,Somewhat stressful,marital issues,,46,25,37,36,25,25,61-90 minutes,21-45 minutes,A few times a month,Once a week,A few times a week,Sometimes,Sometimes,Frequently,Rarely,Sometimes,Sometimes,20-44 minutes,,medical/health conditions,mental and emotional needs,discipline/behavior,,,,,,,,,,,,,,,Usually,Usually,Usually,Usually,Somewhat unfulfilled,Somewhat unfulfilled,Somewhat fulfilled,poor,a little bit,quite a bit,quite a bit,<30 minutes per week,<30 minutes per week,none,Monthly,2-3 times per month,Daily,Weekly,"Yes, weekly or more often",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$0K-$49K,$100K-$199K,$1-$99K,11-15 years,No,,Dissatisfied,Sometimes,Sometimes,I do.,My spouse/partner does.,80-89 hrs,7+,Hospital/Multi-physician group,2,surgical specialty,,General,,4 weeks,Sometimes,Every few years,Neither agree nor disagree,,Agree,,60,No,Maybe,No,,,,,,,
No,Yes,University - Undergratduate,Early Career (0-10 years),<1 year,Lack of intimacy,,5+ years,Divorced,,11-20 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,,,,Yes,,Not at all,20,Very stressful,Somewhat stressful,Somewhat not stressful,Very stressful,marital issues,,20,40,64,22,,59,21-45 minutes,46-60 minutes,A few times a week,A few times a week,Every day,Frequently,Always,Rarely,Frequently,Rarely,Sometimes,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Usually,Always,Always,Sometimes,Not fulfilled at all,Not fulfilled at all,,good,quite a bit,not at all,not at all,121-150 minutes per week,<30 minutes per week,none,2-3 times per month,Weekly,Never,Never,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$50K-$99K,,$0 ,1-5 years,,,Dissatisfied,,,I do.,I do.,50-59 hrs,3,Veteran's hospital,1,psychiatry,,,,4 weeks,Never,,,,,,94,Maybe,No,Maybe,,,,,,,
Yes,,,,,,,,Married,,11-20 years,0,,,,"Some college, no degree",Not at all,,,Yes,Yes,,Yes,,,,,Positively,100,Not stressful at all,Somewhat not stressful,Somewhat stressful,Somewhat not stressful,lack of time,,90,90,90,100,100,100,46-60 minutes,21-45 minutes,A few times a year or less,Never,A few times a year or less,Never,Rarely,Always,Always,Always,Always,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,quite a bit,quite a bit,30-60 minutes per week,<30 minutes per week,twice per week,Weekly,Seldom,3-5 times per week,Seldom,"Yes, I did in the past.",Would definitely go,,Marriage or family counseling,,,,,,,,,$400K-$499K,$0 ,$0 ,31+ years,Yes,,Satisfied,Never,Usually,,,70-79 hrs,4,Other (please specify),2,family medicine,,,,4 weeks,Always,Several times a year,Agree,My spouse can take family time when she needs or wants to. Her work place never challenges her they are very happy when she comes back to work.,Agree,Modernizing the nursing station would be very helpful to my spouse and the community she serves.,1,Yes,Yes,Yes,67,Male,Man,Female,Woman,Canada,
